gap,recommender,accuracy_mean,precision_mean,recall_mean,f1_mean,overlap_mean
1,multidimensional_interestingness,0.07603753783403833,0.08500171500236946,0.07603753783403833,0.07985694792025001,0.08500171500236946
2,multidimensional_interestingness,0.14087523576872693,0.16591547408680601,0.14087523576872693,0.15002893724911348,0.16591547408680601
3,multidimensional_interestingness,0.14803034166180215,0.16184225182726153,0.14803034166180215,0.15379276077640877,0.16184225182726153
5,multidimensional_interestingness,0.06970569663392558,0.0880373296468084,0.06970569663392558,0.07705059294773194,0.0880373296468084
10,multidimensional_interestingness,0.03241925131999321,0.04730484768183569,0.03241925131999321,0.03791367429425979,0.04730484768183569
1,random,0.07273538712015316,0.0816995642884843,0.07273538712015316,0.07655479720636485,0.0816995642884843
2,random,0.14904334507498138,0.18102928173487542,0.14904334507498138,0.15833827555771915,0.18102928173487542
3,random,0.2425972643101525,0.2614769928997865,0.2425972643101525,0.2493334514044094,0.2614769928997865
5,random,0.13506602088609007,0.16478533606727847,0.13506602088609007,0.1449118758749879,0.16478533606727847
10,random,0.0767470009214131,0.10888508576528601,0.0767470009214131,0.08754573020206928,0.10888508576528601
1,clustering,0.07217036044831028,0.08113453761664143,0.07217036044831028,0.07598977053452198,0.08113453761664143
2,clustering,0.14626500928421676,0.17825094594411084,0.14626500928421676,0.15555993976695456,0.17825094594411084
3,clustering,0.24254710503349608,0.26142683362313,0.24254710503349608,0.24928329212775294,0.26142683362313
5,clustering,0.13517795592355764,0.16489727110474606,0.13517795592355764,0.14502381091245548,0.16489727110474606
10,clustering,0.0758970791205753,0.1080351639644482,0.0758970791205753,0.08669580840123149,0.1080351639644482
1,frequency,0.0723890540312518,0.08135323119958293,0.0723890540312518,0.07620846411746349,0.08135323119958293
2,frequency,0.14867478152336053,0.1806607181832546,0.14867478152336053,0.15796971200609836,0.1806607181832546
3,frequency,0.2431979659151772,0.2620776945048111,0.2431979659151772,0.2499341530094341,0.2620776945048111
5,frequency,0.134095095881203,0.16381441106239145,0.134095095881203,0.14394095087010086,0.16381441106239145
10,frequency,0.07568189144016872,0.10781997628404162,0.07568189144016872,0.08648062072082491,0.10781997628404162
1,similarity,0.06960099266444567,0.0785651698327768,0.06960099266444567,0.07342040275065735,0.0785651698327768
2,similarity,0.14732850241435042,0.17931443907424452,0.14732850241435042,0.15662343289708824,0.17931443907424452
3,similarity,0.24116099752713518,0.2600407261167692,0.24116099752713518,0.2478971846213921,0.2600407261167692
5,similarity,0.13522319459987275,0.16494250978106118,0.13522319459987275,0.14506904958877062,0.16494250978106118
10,similarity,0.07557682402348379,0.1077149088673567,0.07557682402348379,0.08637555330413997,0.1077149088673567
1,sampling,0.07290854388732451,0.08187272105565564,0.07290854388732451,0.0767279539735362,0.08187272105565564
2,sampling,0.14615021602300346,0.17813615268289754,0.14615021602300346,0.15544514650574123,0.17813615268289754
3,sampling,0.24343656394744712,0.26231629253708105,0.24343656394744712,0.25017275104170406,0.26231629253708105
5,sampling,0.134042775681417,0.1637620908626054,0.134042775681417,0.14388863067031482,0.1637620908626054
10,sampling,0.07701575623410976,0.10915384107798266,0.07701575623410976,0.08781448551476596,0.10915384107798266
