gap,recommender,accuracy_mean,precision_mean,recall_mean,f1_mean,overlap_mean
1,multidimensional_interestingness,0.25784599803842556,0.2990929411792339,0.25784599803842556,0.27056855563189264,0.37703919749944065
2,multidimensional_interestingness,0.10140342628848825,0.14400215426911894,0.10140342628848825,0.11132547785453364,0.1927708380077093
3,multidimensional_interestingness,0.06363335424884334,0.12019604786774073,0.06363335424884334,0.07805306529278207,0.14805669078962294
5,multidimensional_interestingness,0.012831856498225023,0.013770995700416289,0.012831856498225023,0.013239910956401802,0.04197522729857525
10,multidimensional_interestingness,0.0010665164850186877,0.0031788367141556383,0.0010665164850186877,0.0015782241556622242,0.0032949599162039856
1,random,0.36601585853713103,0.44541412165000716,0.36601585853713103,0.3803904145572961,0.510423541053656
2,random,0.21881060595110557,0.32276107576382446,0.21881060595110557,0.23486844320418132,0.3577269693878081
3,random,0.11312842612838432,0.2669645399562061,0.11312842612838432,0.1354711553377597,0.2947188191245056
5,random,0.0642377978678576,0.15727123855680503,0.0642377978678576,0.06937860122279209,0.17884388499178627
10,random,0.01977507394931033,0.021932357084050155,0.01977507394931033,0.020308145210461308,0.028536853042564397
1,clustering,0.3709446300142906,0.4503915118757529,0.3709446300142906,0.3853289466086008,0.5112398868610216
2,clustering,0.22269758113679614,0.32678890761725393,0.22269758113679614,0.23877747272072194,0.35404827308053655
3,clustering,0.10345585372014462,0.25734376541253956,0.10345585372014462,0.12581367777434554,0.28390756310295817
5,clustering,0.06386450777692872,0.15655063105420122,0.06386450777692872,0.06896178362377843,0.17737530344360625
10,clustering,0.02038091525685082,0.022538198391590644,0.02038091525685082,0.0209139865180018,0.029069124421280085
1,frequency,0.3635302661955927,0.44284947670008956,0.3635302661955927,0.3778751100568184,0.504949319954073
2,frequency,0.21364870334921876,0.3178873974158393,0.21364870334921876,0.2297530907730147,0.3506532812404712
3,frequency,0.10803241543039992,0.26194178501870213,0.10803241543039992,0.13039694415407221,0.2895075604583597
5,frequency,0.06169235332493933,0.15403115919053695,0.06169235332493933,0.0667461016637043,0.17687538546756373
10,frequency,0.019631477262652304,0.02178876039739213,0.019631477262652304,0.020164548523803286,0.028462686570081712
1,similarity,0.2808449240110945,0.34347928115460247,0.2808449240110945,0.29501616585139484,0.3976902791375347
2,similarity,0.17211861269597484,0.2573797999777807,0.17211861269597484,0.18722552358539352,0.29521179376463064
3,similarity,0.09720386133781588,0.21534044461322305,0.09720386133781588,0.11894197689533195,0.24522080643588143
5,similarity,0.06589439619502309,0.14023106086591972,0.06589439619502309,0.07100110110606223,0.16285759901661012
10,similarity,0.0014961620274461852,0.0036534451621860137,0.0014961620274461852,0.0020292332885971666,0.0037695683642343606
1,sampling,0.35449625090160486,0.43385340349523627,0.35449625090160486,0.3688533134404961,0.5048313333609207
2,sampling,0.2060257717546725,0.31017636091842765,0.2060257717546725,0.2221300423939842,0.3405005267256652
3,sampling,0.0930255596829427,0.247049456006917,0.0930255596829427,0.11542512031383557,0.2728019286841189
5,sampling,0.05148944172296773,0.14452288241191516,0.05148944172296773,0.0566302450779022,0.16512321650792078
10,sampling,0.01963830570015974,0.021795588834899564,0.01963830570015974,0.02017137696131072,0.02869836923266741
