gap,recommender,accuracy_mean,precision_mean,recall_mean,f1_mean,overlap_mean
1,multidimensional_interestingness,0.28276643990929706,0.2922902494331066,0.28276643990929706,0.2870954442383014,0.2922902494331066
2,multidimensional_interestingness,0.13278595618218259,0.2816849816849817,0.13278595618218259,0.13736174747410704,0.2816849816849817
3,multidimensional_interestingness,0.03802785265049416,0.19523809523809524,0.03802785265049416,0.04624453646192777,0.19523809523809524
5,multidimensional_interestingness,0.004571428571428572,0.1,0.004571428571428572,0.008743169398907102,0.1
10,multidimensional_interestingness,0.0,0.0,0.0,0.0,0.0
1,random,0.2922902494331066,0.3018140589569161,0.2922902494331066,0.29661925376211096,0.3018140589569161
2,random,0.13214493054115695,0.28104395604395604,0.13214493054115695,0.1367207218330814,0.28104395604395604
3,random,0.04993261455525606,0.20714285714285716,0.04993261455525606,0.058149298366689674,0.20714285714285716
5,random,0.004571428571428572,0.1,0.004571428571428572,0.008743169398907102,0.1
10,random,0.0,0.0,0.0,0.0,0.0
1,clustering,0.0,0.0,0.0,0.0,0.0
2,clustering,0.0,0.0,0.0,0.0,0.0
3,clustering,0.0,0.0,0.0,0.0,0.0
5,clustering,0.0,0.0,0.0,0.0,0.0
10,clustering,0.0,0.0,0.0,0.0,0.0
1,frequency,0.2988378684807257,0.3083616780045352,0.2988378684807257,0.30316687280973,0.3083616780045352
2,frequency,0.19505701845324486,0.34395604395604396,0.19505701845324486,0.19963280974516928,0.34395604395604396
3,frequency,0.07225404312668464,0.2294642857142857,0.07225404312668464,0.08047072693811826,0.2294642857142857
5,frequency,0.004571428571428572,0.1,0.004571428571428572,0.008743169398907102,0.1
10,frequency,0.0,0.0,0.0,0.0,0.0
1,similarity,0.33027210884353736,0.33979591836734696,0.33027210884353736,0.33460111317254176,0.33979591836734696
2,similarity,0.18406800746423388,0.33296703296703295,0.18406800746423388,0.18864379875615833,0.33296703296703295
3,similarity,0.021361185983827493,0.17857142857142858,0.021361185983827493,0.029577869795261096,0.17857142857142858
5,similarity,0.004571428571428572,0.1,0.004571428571428572,0.008743169398907102,0.1
10,similarity,0.0,0.0,0.0,0.0,0.0
1,sampling,0.2613378684807256,0.27086167800453514,0.2613378684807256,0.26566687280972995,0.27086167800453514
2,sampling,0.14817057156679797,0.297069597069597,0.14817057156679797,0.1527463628587224,0.297069597069597
3,sampling,0.06183737646001797,0.21904761904761905,0.06183737646001797,0.07005406027145157,0.21904761904761905
5,sampling,0.004571428571428572,0.1,0.004571428571428572,0.008743169398907102,0.1
10,sampling,0.0,0.0,0.0,0.0,0.0
